track_id,lat,lon,speed,lon_acc,lat_acc,time
546,37.980624,23.73509,33.8805,0.0143,0.0286,448.0
547,37.980641,23.735112,36.895,0.0514,0.0557,449.4
548,37.978405,23.735537,25.5823,0.0085,0.0939,449.6
549,37.980614,23.735085,31.8747,0.0014,-0.0478,449.8
550,37.98059,23.73505,34.3374,0.0422,-0.0239,450.2
551,37.980024,23.736874,12.5526,-0.0523,-0.0271,451.0
552,37.980026,23.736873,24.0351,-0.006,0.0922,455.6
553,37.979494,23.736121,8.2345,-0.4027,-0.1103,457.0
554,37.980031,23.736885,23.7801,-0.0121,-0.0384,458.6
555,37.978409,23.735528,21.6892,0.0085,-0.0565,466.6
556,37.980252,23.735487,6.8901,0.0298,-0.1743,477.0
557,37.979511,23.736115,4.0769,-0.011,-0.1476,477.8
558,37.980605,23.735057,36.3257,0.101,-0.0074,478.0
559,37.97841,23.735533,34.2983,0.0059,0.0728,478.0
560,37.980626,23.735079,23.4536,0.0591,0.0782,479.0
561,37.980633,23.735117,22.2606,0.0462,-0.1155,479.0
562,37.980597,23.735025,30.0659,0.0213,0.0625,479.4
563,37.978412,23.735542,47.0774,0.0541,0.1332,479.6
564,37.977607,23.737362,25.7667,0.7785,0.1846,480.0
565,37.977587,23.73736,13.5371,0.1154,0.3964,480.0
566,37.980646,23.735106,19.2934,0.0353,-0.0734,481.2
567,37.980604,23.735055,33.6477,-0.0046,0.2375,481.6
568,37.978399,23.735525,39.2793,-0.0358,0.0989,481.6
569,37.980628,23.735084,19.2257,0.0252,0.0826,482.0
570,37.97842,23.735531,40.2583,-0.0177,-0.1308,482.2
571,37.978403,23.735523,40.7195,-0.0472,0.2786,482.6
572,37.980652,23.735113,19.5781,0.0498,0.0468,482.6
573,37.977466,23.737557,2.2385,-0.0975,-0.1014,482.8
574,37.980603,23.735059,33.6912,0.0132,-0.028,483.8
575,37.980597,23.73502,38.6755,0.0153,0.0132,484.2
576,37.978408,23.735525,34.8684,0.004,-0.1672,485.0
577,37.980607,23.735059,34.916,0.0316,0.0052,485.2
578,37.980596,23.735018,32.111,0.0081,-0.0471,485.6
579,37.980629,23.735083,14.5578,0.0409,0.0431,485.8
580,37.980599,23.735031,33.301,0.0206,-0.0307,486.4
581,37.980647,23.735112,22.3584,0.0076,-0.0893,486.4
582,37.980603,23.735056,33.1443,0.041,0.1241,487.4
583,37.980645,23.735108,20.5301,0.0057,-0.006,487.6
584,37.978402,23.735529,24.9969,-0.0429,-0.0142,487.6
585,37.980632,23.735077,13.5932,-0.0012,-0.0056,487.8
586,37.980598,23.735024,33.0977,0.0421,-0.0218,488.2
587,37.980612,23.735056,33.2455,0.0,0.0272,488.8
588,37.978412,23.73553,25.4734,0.0071,-0.1001,489.0
589,37.980603,23.735056,32.6964,0.0005,0.0138,490.6
590,37.978418,23.735541,25.8609,-0.0124,-0.16,491.6
591,37.980644,23.735112,37.971,0.049,0.0678,492.0
592,37.980633,23.735083,28.562,0.0117,0.1349,493.0
593,37.978413,23.735526,27.6872,0.0673,-0.1431,494.8
594,37.977606,23.737384,8.3248,-0.0288,-0.2978,495.0
595,37.980632,23.735078,27.9581,0.0248,-0.013,495.4
596,37.980059,23.736936,10.284,0.0134,-0.0031,496.2
597,37.978411,23.735531,23.7729,0.0097,0.1597,496.6
598,37.978471,23.738034,27.229,0.1585,-0.0722,497.2
599,37.97841,23.735529,22.3343,0.0337,-0.0328,499.4
600,37.980041,23.736899,8.9851,0.2064,-0.0293,500.0
601,37.978415,23.735532,18.7288,0.0048,-0.0277,502.2
602,37.978384,23.737858,16.5143,-1.1469,-0.0682,504.0
603,37.97841,23.735529,19.2482,0.0539,-0.0091,504.4
604,37.978407,23.735523,16.2868,-0.117,0.0849,506.8
605,37.978413,23.735539,19.7547,0.062,-0.026,509.2
606,37.978409,23.735526,18.1584,0.0426,0.0056,512.0
